# element	name	version
freedesktop-sdk.bst-components--private-libsmbios.bst	libsmbios	
freedesktop-sdk.bst-components--private-lvm2-base.bst	lvm2-base	
freedesktop-sdk.bst-components--private-lvm2-stage1.bst	lvm2-stage1	
freedesktop-sdk.bst-components--private-meson.bst	meson	
freedesktop-sdk.bst-components--private-pipewire-base.bst	pipewire-base	
freedesktop-sdk.bst-components--private-polkit-base.bst	polkit-base	
freedesktop-sdk.bst-components--private-python3-build-bootstrap.bst	python3-build-bootstrap	
freedesktop-sdk.bst-components--private-python3-build.bst	python3-build	
freedesktop-sdk.bst-components--private-python3-flit-core.bst	python3-flit-core	
freedesktop-sdk.bst-components--private-python3-installer-bootstrap.bst	python3-installer-bootstrap	
freedesktop-sdk.bst-components--private-python3-installer.bst	python3-installer	
freedesktop-sdk.bst-components--private-python3-minimal.bst	python3-minimal	
freedesktop-sdk.bst-components--private-python3-packaging.bst	python3-packaging	
freedesktop-sdk.bst-components--private-python3-pyproject-hooks.bst	python3-pyproject-hooks	
freedesktop-sdk.bst-components--private-python3-setuptools.bst	python3-setuptools	
freedesktop-sdk.bst-components--private-python3-wheel.bst	python3-wheel	
freedesktop-sdk.bst-components--private-rust-stage1-x86-64.bst	rust-stage1-x86_64	
freedesktop-sdk.bst-components--private-rust-stage1.bst	rust-stage1	
freedesktop-sdk.bst-components--private-systemd-hwdb.bst	systemd-hwdb	
freedesktop-sdk.bst-components--private-systemd-stage1.bst	systemd-stage1	
freedesktop-sdk.bst-components--private-util-linux-base.bst	util-linux-base	
freedesktop-sdk.bst-components--private-vala-bootstrap.bst	vala-bootstrap	
freedesktop-sdk.bst-components--private-valgrind.bst	valgrind	
freedesktop-sdk.bst-components-aardvark-dns.bst	aardvark-dns	
freedesktop-sdk.bst-components-abseil-cpp.bst	abseil-cpp	
freedesktop-sdk.bst-components-alsa-lib.bst	alsa-lib	
freedesktop-sdk.bst-components-alsa-plugins.bst	alsa-plugins	
freedesktop-sdk.bst-components-amf-headers.bst	amf-headers	
freedesktop-sdk.bst-components-aom.bst	aom	
freedesktop-sdk.bst-components-apparmor-manifest.bst	apparmor-manifest	
freedesktop-sdk.bst-components-apparmor.bst	apparmor	
freedesktop-sdk.bst-components-appstream-minimal.bst	appstream-minimal	
freedesktop-sdk.bst-components-appstream.bst	appstream	
freedesktop-sdk.bst-components-asciidoc.bst	asciidoc	
freedesktop-sdk.bst-components-asciidoctor.bst	asciidoctor	
freedesktop-sdk.bst-components-aspell.bst	aspell	
freedesktop-sdk.bst-components-audit.bst	audit	
freedesktop-sdk.bst-components-autoconf-archive.bst	autoconf-archive	
